Group,Experiment,Problem Space,Samples,Iterations,Failure,Baseline,us/Iteration,Iterations/sec,Min (us),Mean (us),Max (us),Variance,Standard Deviation,Skewness,Kurtosis,Z Score
SPRP,AE32_256,67108864,30,10,0,0.0363759,3243.7,308.29,32437,33686,36145,823012,907.2,1.16923,1.21334,1.37676
SPRP,AE32_256,134217728,30,10,0,0.0268493,3391.7,294.837,33917,34985.7,37507,744879,863.063,0.958142,0.591268,1.2383
SPRP,AE32_256,268435456,30,10,0,0.0197867,3516.6,284.366,35166,36388.7,39737,1.03615e+06,1017.92,1.44545,2.40677,1.20115
SPRP,AE32_256,536870912,30,10,0,0.0144557,3637.4,274.922,36374,37443.1,39231,634513,796.563,0.810907,-0.518216,1.34214
SPRP,AE32_256,1073741824,30,10,0,0.010575,3750.1,266.66,37501,38978.3,43208,1.89347e+06,1376.03,1.57325,2.17464,1.07362
SPRP,AE32_256,2147483648,30,10,0,0.00771202,3851.9,259.612,38519,39912.1,41963,615149,784.314,0.780474,0.344072,1.7762
SPRP,bpsw,2,30,10,0,2.09328,4618.2,216.535,46182,47518.2,50076,1.52562e+06,1235.16,0.744762,-0.866704,1.08178
SPRP,bpsw,4,30,10,0,2.08617,4614.4,216.713,46144,47855.2,51749,2.10912e+06,1452.28,0.972656,0.678789,1.17826
SPRP,bpsw,8,30,10,0,2.09597,4638.8,215.573,46388,48082.9,50469,1.26229e+06,1123.52,0.100516,-0.833042,1.50857
SPRP,bpsw,16,30,10,0,2.09903,4646,215.239,46460,48639.9,52826,1.50456e+06,1226.61,1.11035,2.77404,1.77715
SPRP,bpsw,32,30,10,0,2.09617,4629.8,215.992,46298,48306.6,51580,2.24888e+06,1499.63,0.550232,-0.604519,1.3394
SPRP,bpsw,64,30,10,0,2.11863,4675.6,213.876,46756,48739.9,56708,5.35684e+06,2314.48,2.04359,3.78401,0.857167
SPRP,bpsw,128,30,10,0,2.16453,4802,208.247,48020,50721.4,57502,5.83e+06,2414.54,1.10759,0.46187,1.11882
SPRP,bpsw,256,30,10,0,2.13448,4730,211.416,47300,52906,60065,1.13657e+07,3371.3,0.577605,-0.513317,1.66285
SPRP,bpsw,512,30,10,0,2.10901,4699.3,212.798,46993,49799.2,53993,3.84748e+06,1961.5,0.442045,-0.686129,1.43062
SPRP,bpsw,1024,30,10,0,2.02221,4735.6,211.166,47356,50656.2,59392,6.39694e+06,2529.22,1.54565,3.03468,1.30483
SPRP,bpsw,2048,30,10,0,1.97906,4744.8,210.757,47448,50939.6,60447,1.10401e+07,3322.67,1.2833,0.850848,1.05084
SPRP,bpsw,4096,30,10,0,2.01009,4819.4,207.495,48194,52323.2,65025,1.76817e+07,4204.96,1.78403,2.78309,0.981991
SPRP,bpsw,8192,30,10,0,1.88004,4830,207.039,48300,49658.6,51798,720656,848.914,0.518538,0.0782137,1.6004
SPRP,bpsw,16384,30,10,0,1.79626,4943.5,202.286,49435,50974.2,54276,1.61777e+06,1271.92,0.864987,-0.0400339,1.21014
SPRP,bpsw,32768,30,10,0,1.64146,5156.8,193.919,51568,54343.4,60923,4.87948e+06,2208.95,1.13243,0.966607,1.25642
SPRP,bpsw,65536,30,10,0,1.48376,5509.2,181.515,55092,57524.8,61024,2.01755e+06,1420.41,0.209482,-0.541867,1.71275
SPRP,bpsw,131072,30,10,0,1.24436,5815.5,171.954,58155,60375.2,64110,2.16173e+06,1470.28,0.920762,0.585802,1.51007
SPRP,bpsw,262144,30,10,0,0.969359,5947.5,168.138,59475,61999.2,68458,4.3106e+06,2076.2,1.15855,1.49616,1.21578
SPRP,bpsw,524288,30,10,0,0.739481,6109.3,163.685,61093,63879.1,70230,3.9848e+06,1996.2,1.08278,1.54729,1.39572
SPRP,bpsw,1048576,30,10,0,0.562882,6385,156.617,63850,68384.1,82554,2.44049e+07,4940.13,1.5019,1.23657,0.917817
SPRP,bpsw,2097152,30,10,0,0.41977,6626.2,150.916,66262,70658,81786,1.68467e+07,4104.47,1.32257,0.782168,1.07103
SPRP,bpsw,4194304,30,10,0,0.305631,6929.3,144.315,69293,74177.1,87850,1.91835e+07,4379.9,1.58247,2.19076,1.11511
SPRP,bpsw,8388608,30,10,0,0.227027,7115.7,140.534,71157,74296.5,77685,4.03261e+06,2008.14,0.228517,-1.14479,1.56341
SPRP,bpsw,16777216,30,10,0,0.164963,7368.6,135.711,73686,76916.2,81365,4.15854e+06,2039.25,0.229202,-0.666747,1.584
SPRP,bpsw,33554432,30,10,0,0.120232,7571.4,132.076,75714,80217.1,91233,1.06322e+07,3260.7,1.38124,2.52133,1.38101
SPRP,bpsw,67108864,30,10,0,0.087973,7844.7,127.475,78447,82412.6,89593,7.34571e+06,2710.3,0.664023,-0.103546,1.46315
SPRP,bpsw,134217728,30,10,0,0.0635708,8030.5,124.525,80305,85572.3,96949,8.44041e+06,2905.24,1.74471,6.15249,1.81304
SPRP,bpsw,268435456,30,10,0,0.0465364,8270.7,120.909,82707,87290.5,92625,5.72383e+06,2392.45,0.333664,-0.264697,1.91583
SPRP,bpsw,536870912,30,10,0,0.0344343,8664.5,115.413,86645,90387.6,97938,9.10996e+06,3018.27,1.03592,0.139562,1.23997
SPRP,bpsw,1073741824,30,10,0,0.0252542,8955.6,111.662,89556,94356.4,100842,6.11638e+06,2473.13,0.29493,0.0432964,1.94102
SPRP,bpsw,2147483648,30,10,0,0.0186697,9324.9,107.24,93249,97382.9,104864,8.34608e+06,2888.96,0.642695,0.317617,1.43094
SPRP,isPrime,2,30,10,0,1.39983,3088.3,323.803,30883,32265,33967,581375,762.48,0.333538,-0.595034,1.81246
SPRP,isPrime,4,30,10,0,1.39057,3075.8,325.119,30758,32223.8,35733,1.06349e+06,1031.26,1.06043,2.45132,1.42134
SPRP,isPrime,8,30,10,0,1.37204,3036.6,329.316,30366,32744.3,38114,1.86583e+06,1365.95,1.91438,6.30433,1.7411
SPRP,isPrime,16,30,10,0,1.36839,3028.8,330.164,30288,32400.7,35919,2.13683e+06,1461.79,0.733253,-0.152334,1.44526
SPRP,isPrime,32,30,10,0,1.40381,3100.6,322.518,31006,32695.2,35670,1.30559e+06,1142.62,0.672775,-0.124494,1.47835
SPRP,isPrime,64,30,10,0,1.37732,3039.6,328.991,30396,32843,36069,1.17222e+06,1082.69,0.763353,1.47579,2.26014
SPRP,isPrime,128,30,10,0,1.36187,3021.3,330.983,30213,32031.9,35939,1.50827e+06,1228.12,1.24729,1.90901,1.48107
SPRP,isPrime,256,30,10,0,1.4125,3130.1,319.479,31301,32955.2,35885,1.13213e+06,1064.01,1.0106,0.788308,1.55465
SPRP,isPrime,512,30,10,0,1.42047,3165.1,315.946,31651,33484.1,38919,2.49931e+06,1580.92,1.73823,3.18588,1.15951
SPRP,isPrime,1024,30,10,0,1.31561,3080.9,324.58,30809,33210.7,35845,1.62852e+06,1276.13,0.494166,-0.669138,1.88204
SPRP,isPrime,2048,30,10,0,1.30682,3133.1,319.173,31331,33256.3,36038,1.16543e+06,1079.55,0.379217,0.0574542,1.78346
SPRP,isPrime,4096,30,10,0,1.35131,3239.9,308.652,32399,34243.7,37293,1.2458e+06,1116.16,1.19821,1.38646,1.6527
SPRP,isPrime,8192,30,10,0,1.28948,3312.8,301.859,33128,34774.7,39836,1.74725e+06,1321.84,1.98845,5.29448,1.24577
SPRP,isPrime,16384,30,10,0,1.28113,3525.8,283.624,35258,39338,59967,1.93562e+07,4399.57,3.6564,14.4948,0.927355
SPRP,isPrime,32768,30,10,0,1.22632,3852.6,259.565,38526,41944.1,45400,3.8853e+06,1971.12,0.580592,-0.786948,1.73409
SPRP,isPrime,65536,30,10,0,1.22055,4531.9,220.658,45319,48266.3,51715,2.34346e+06,1530.84,0.237618,-0.638466,1.92529
SPRP,isPrime,131072,30,10,0,1.07433,5020.9,199.167,50209,54128.2,67365,1.39619e+07,3736.56,2.51343,6.07217,1.04888
SPRP,isPrime,262144,30,10,0,0.806291,4947,202.143,49470,51889.8,55392,2.31374e+06,1521.1,0.487477,-0.358249,1.5908
SPRP,isPrime,524288,30,10,0,0.585637,4838.3,206.684,48383,50530.9,53828,1.47009e+06,1212.47,0.577317,0.270403,1.77153
SPRP,isPrime,1048576,30,10,0,0.429289,4869.6,205.356,48696,51816.4,59355,7.4807e+06,2735.09,1.23859,0.737015,1.14088
SPRP,isPrime,2097152,30,10,0,0.335686,5298.9,188.718,52989,56395.4,61226,4.87055e+06,2206.93,0.490084,-0.493314,1.5435
SPRP,isPrime,4194304,30,10,0,0.239713,5434.8,183.999,54348,56818.1,60882,2.55261e+06,1597.69,0.675408,-0.0262154,1.54602
SPRP,isPrime,8388608,30,10,0,0.180223,5648.7,177.032,56487,59675.1,63871,3.7016e+06,1923.95,0.497255,-0.39633,1.65706
SPRP,isPrime,16777216,30,10,0,0.194337,8680.7,115.198,86807,91361.4,97699,8.82675e+06,2970.98,0.729029,-0.165661,1.53295
SPRP,isPrime,33554432,30,10,0,0.145438,9158.7,109.186,91587,98121.1,109143,2.10729e+07,4590.53,0.563783,-0.511493,1.4234
SPRP,isPrime,67108864,30,10,0,0.103762,9252.6,108.078,92526,96387.1,101724,5.94046e+06,2437.31,0.586662,0.0295588,1.58418
SPRP,isPrime,134217728,30,10,0,0.0762462,9631.7,103.824,96317,101316,107718,1.13708e+07,3372.06,0.414667,-0.941177,1.48251
SPRP,isPrime,268435456,30,10,0,0.0557089,9900.9,101.001,99009,103798,108569,4.84958e+06,2202.18,-0.00211378,0.548325,2.17464
SPRP,isPrime,536870912,30,10,0,0.0411841,10362.9,96.4981,103629,107028,114227,6.64606e+06,2577.99,1.05151,0.929445,1.31865
